Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
Jh 9d 2h,JcTc,0.999,60.64,2.61143,71.7783,1.56,1.23,98.39,2.63,0.06,0.00
Jh 9d 2h,JcTd,0.999,60.80,2.6706,73.2063,0.39,1.16,99.56,2.68,0.05,0.00
Jh 9d 2h,JcTh,0.998,63.26,3.13228,82.5216,7.01,1.53,92.95,3.25,0.04,0.00
Jh 9d 2h,JcTs,0.999,60.66,2.62962,72.2472,0.21,1.23,99.73,2.63,0.06,0.00
Jh 9d 2h,Qc6c,0.999,15.15,-0.00195,-0.21502,0.06,-2.69,0.02,-1.43,99.92,0.00
Jh 9d 2h,Qc7c,0.999,15.30,-0.00197,-0.21474,0.06,-2.66,0.02,-1.42,99.92,0.00
Jh 9d 2h,Qc8c,0.998,25.80,-0.0037,-0.2393,0.22,-1.56,0.14,-0.24,99.64,0.00
Jh 9d 2h,Qc9c,0.999,53.28,1.34543,42.0879,0.02,-0.18,99.87,1.35,0.11,0.00
Jh 9d 2h,QcTc,0.997,39.71,1.51408,63.5493,21.75,0.81,78.17,1.71,0.08,0.00
Jh 9d 2h,QcJc,0.998,64.59,3.70754,95.6622,1.99,6.08,97.97,3.66,0.04,0.00
Jh 9d 2h,QcTd,0.997,39.77,1.69708,71.118,5.73,0.88,94.19,1.75,0.08,0.00
Jh 9d 2h,QcJd,0.998,64.57,3.67702,94.9092,0.05,6.11,99.91,3.68,0.04,0.00
Jh 9d 2h,QcTh,0.996,42.30,1.87612,73.9231,45.64,1.37,54.30,2.31,0.06,0.00
Jh 9d 2h,QcTs,0.997,39.68,1.51454,63.6101,24.24,0.89,75.68,1.72,0.08,0.00
Jh 9d 2h,QcJs,0.998,64.59,3.7028,95.539,1.79,6.07,98.17,3.66,0.04,0.00
Jh 9d 2h,Kc2c,0.997,39.62,-0.49927,-21.0001,42.51,-1.28,54.60,0.08,2.89,0.00
Jh 9d 2h,Kc3c,0.999,15.43,-0.00213,-0.22995,0.05,-3.49,0.02,-1.66,99.93,0.00
Jh 9d 2h,Kc4c,0.999,15.76,-0.00213,-0.22497,0.05,-3.47,0.02,-1.62,99.93,0.00
Jh 9d 2h,Kc5c,0.999,16.09,-0.00212,-0.21992,0.05,-3.45,0.02,-1.60,99.93,0.00
Jh 9d 2h,Kc6c,0.999,16.46,-0.00212,-0.21485,0.05,-3.40,0.02,-1.58,99.93,0.00
Jh 9d 2h,Kc7c,0.999,17.62,-0.00215,-0.2029,0.05,-3.30,0.02,-1.51,99.92,0.00
Jh 9d 2h,Kc8c,0.999,18.07,-0.00223,-0.20592,0.06,-3.30,0.02,-1.47,99.92,0.00
Jh 9d 2h,Kc9c,0.999,52.76,1.08249,34.1949,0.02,-0.99,99.84,1.08,0.14,0.00
Jh 9d 2h,KcTc,0.997,30.97,-0.0276,-1.48527,1.68,-1.70,82.26,0.00,16.06,0.00
Jh 9d 2h,KcJc,0.998,66.60,4.34641,108.768,2.16,5.96,97.81,4.31,0.03,0.00
Jh 9d 2h,KcQc,0.997,34.67,-0.00215,-0.10349,15.23,-1.15,83.90,0.21,0.87,0.00
Jh 9d 2h,Kc8d,0.999,18.09,-0.00226,-0.20859,0.06,-3.32,0.02,-1.49,99.92,0.00
Jh 9d 2h,KcTd,0.997,31.00,-0.00309,-0.16623,1.15,-1.59,88.92,0.02,9.92,0.00
Jh 9d 2h,KcJd,0.998,66.57,4.33642,108.561,0.38,6.94,99.59,4.33,0.03,0.00
Jh 9d 2h,KcQd,0.997,34.75,0.00394,0.18892,16.01,-1.16,83.22,0.23,0.77,0.00
Jh 9d 2h,Kc8h,0.999,20.97,-0.00243,-0.19278,0.07,-2.87,0.03,-1.19,99.90,0.00
Jh 9d 2h,Kc9h,0.999,55.15,1.68454,50.9123,0.02,3.75,99.89,1.69,0.09,0.00
Jh 9d 2h,KcTh,0.998,33.84,0.2459,12.1101,15.67,-1.06,83.99,0.49,0.34,0.00
Jh 9d 2h,KcQh,0.997,37.81,0.4761,20.9856,41.52,0.01,58.30,0.81,0.18,0.00
Jh 9d 2h,Kc8s,0.999,18.07,-0.00223,-0.20591,0.06,-3.30,0.02,-1.47,99.92,0.00
Jh 9d 2h,Kc9s,0.999,52.77,1.07845,34.0639,0.02,-1.02,99.84,1.08,0.14,0.00
Jh 9d 2h,KcTs,0.997,30.92,-0.0301,-1.62267,1.71,-1.72,62.58,0.00,35.70,0.00
Jh 9d 2h,KcJs,0.998,66.60,4.33445,108.469,1.73,5.68,98.24,4.31,0.03,0.00
Jh 9d 2h,KcQs,0.997,34.67,-0.00002,-0.00119,15.08,-1.15,84.05,0.21,0.87,0.00
Jh 9d 2h,Ac2c,0.998,38.48,-0.22513,-9.75115,15.86,-1.61,79.15,0.04,4.99,0.00
Jh 9d 2h,Ac3c,0.999,21.64,-0.00196,-0.15109,0.04,-3.15,0.04,-1.47,99.92,0.00
Jh 9d 2h,Ac4c,0.999,21.98,-0.00197,-0.14919,0.04,-3.14,0.04,-1.43,99.91,0.00
Jh 9d 2h,Ac5c,0.999,22.54,-0.00197,-0.1458,0.04,-3.12,0.04,-1.40,99.91,0.00
Jh 9d 2h,Ac6c,0.999,22.07,-0.0019,-0.14379,0.04,-3.27,0.04,-1.46,99.92,0.00
Jh 9d 2h,Ac7c,0.999,23.76,-0.00191,-0.1341,0.04,-3.08,0.04,-1.35,99.91,0.00
Jh 9d 2h,Ac8c,0.999,25.70,-0.00202,-0.13117,0.05,-3.00,0.05,-1.21,99.90,0.00
Jh 9d 2h,Ac9c,0.999,53.26,1.60627,50.2639,0.01,-0.29,99.89,1.61,0.09,0.00
Jh 9d 2h,AcTc,0.999,30.55,-0.00218,-0.11882,0.07,-2.48,0.07,-0.84,99.87,0.00
Jh 9d 2h,Ac2d,0.998,38.49,-0.2178,-9.4307,15.41,-1.71,81.05,0.06,3.54,0.00
Jh 9d 2h,Ac3d,0.999,21.57,-0.00196,-0.15151,0.04,-3.22,0.04,-1.48,99.92,0.00
Jh 9d 2h,Ac4d,0.999,21.90,-0.00197,-0.14972,0.04,-3.21,0.04,-1.44,99.92,0.00
Jh 9d 2h,Ac5d,0.999,22.48,-0.00197,-0.14639,0.04,-3.18,0.04,-1.41,99.91,0.00
Jh 9d 2h,Ac6d,0.999,22.02,-0.0019,-0.14405,0.04,-3.32,0.04,-1.47,99.92,0.00
Jh 9d 2h,Ac7d,0.999,23.70,-0.00192,-0.135,0.04,-3.13,0.04,-1.38,99.91,0.00
Jh 9d 2h,Ac8d,0.999,25.63,-0.00197,-0.12782,0.05,-2.91,0.05,-1.24,99.91,0.00
Jh 9d 2h,AcTd,0.999,30.61,-0.0022,-0.12007,0.07,-2.41,0.07,-0.83,99.86,0.00
Jh 9d 2h,AcJd,0.996,69.28,6.21078,149.409,25.34,7.25,74.64,5.86,0.02,0.00
Jh 9d 2h,Ac3h,0.999,23.98,-0.00205,-0.14245,0.05,-3.00,0.05,-1.29,99.90,0.00
Jh 9d 2h,Ac4h,0.999,24.39,-0.00206,-0.14084,0.05,-2.99,0.05,-1.24,99.90,0.00
Jh 9d 2h,Ac5h,0.999,25.01,-0.00207,-0.13787,0.05,-2.97,0.05,-1.19,99.90,0.00
Jh 9d 2h,Ac6h,0.999,24.65,-0.002,-0.13521,0.05,-3.17,0.05,-1.24,99.91,0.00
Jh 9d 2h,Ac7h,0.999,26.37,-0.00204,-0.12895,0.05,-2.88,0.05,-1.12,99.90,0.00
Jh 9d 2h,Ac8h,0.999,28.34,-0.00223,-0.1311,0.06,-2.73,0.06,-0.93,99.88,0.00
Jh 9d 2h,Ac9h,0.999,55.70,2.18718,65.4418,1.01,3.73,98.92,2.17,0.07,0.00
Jh 9d 2h,AcTh,0.999,33.55,-0.00392,-0.19452,0.19,-1.83,0.11,-0.35,99.69,0.00
Jh 9d 2h,Ac2s,0.998,38.43,-0.02481,-1.07601,2.17,-1.74,90.34,0.01,7.49,0.00
Jh 9d 2h,Ac3s,0.999,21.50,-0.00195,-0.15134,0.04,-3.21,0.04,-1.49,99.92,0.00
Jh 9d 2h,Ac4s,0.999,21.83,-0.00196,-0.14939,0.04,-3.21,0.04,-1.46,99.92,0.00
Jh 9d 2h,Ac5s,0.999,22.41,-0.00196,-0.14587,0.04,-3.18,0.04,-1.42,99.91,0.00
Jh 9d 2h,Ac6s,0.999,21.97,-0.0019,-0.14383,0.04,-3.32,0.04,-1.48,99.92,0.00
Jh 9d 2h,Ac7s,0.999,23.68,-0.0019,-0.13391,0.04,-3.11,0.04,-1.36,99.92,0.00
Jh 9d 2h,Ac8s,0.999,25.62,-0.00202,-0.13139,0.05,-3.05,0.05,-1.23,99.91,0.00
Jh 9d 2h,Ac9s,0.999,53.26,1.60613,50.2595,0.01,-0.29,99.89,1.61,0.10,0.00
Jh 9d 2h,AcTs,0.999,30.55,-0.00218,-0.11872,0.07,-2.48,0.07,-0.84,99.87,0.00
Jh 9d 2h,AcJs,0.997,69.29,5.9291,142.606,12.29,6.64,87.69,5.83,0.02,0.00
Jh 9d 2h,6d6c,0.999,40.26,-0.0023,-0.09505,0.07,-1.76,0.44,-0.24,99.49,0.00
Jh 9d 2h,6d5d,0.999,16.99,-0.00221,-0.21717,0.07,-2.71,0.03,-1.18,99.90,0.00
Jh 9d 2h,7d7c,0.999,42.87,-0.00281,-0.10911,0.12,-1.81,0.61,-0.09,99.27,0.00
Jh 9d 2h,7d6d,0.999,17.20,-0.00213,-0.20637,0.06,-2.61,0.04,-1.24,99.90,0.00
Jh 9d 2h,8d8c,0.998,45.62,-0.00343,-0.12524,0.21,-1.68,60.72,0.00,39.07,0.00
Jh 9d 2h,8d7d,0.998,28.27,-0.00232,-0.13662,3.59,-1.33,89.18,0.05,7.23,0.00
Jh 9d 2h,TdTc,0.999,54.52,1.42581,43.5841,0.01,-0.02,99.88,1.43,0.11,0.00
Jh 9d 2h,Td7d,0.998,29.08,0.41458,23.7623,0.03,-0.86,99.54,0.42,0.43,0.00
Jh 9d 2h,Td8d,0.996,39.74,2.68814,112.753,65.34,2.59,34.61,2.87,0.05,0.00
Jh 9d 2h,JdTc,0.999,60.64,2.64585,72.7213,0.03,1.20,99.92,2.65,0.05,0.00
Jh 9d 2h,Jd8d,0.998,61.24,3.39312,92.348,0.03,4.02,99.93,3.39,0.04,0.00
Jh 9d 2h,JdTd,0.998,62.38,3.59866,96.151,6.20,5.90,93.76,3.45,0.04,0.00
Jh 9d 2h,JdTh,0.998,63.24,3.26481,86.0482,0.03,3.87,99.92,3.27,0.04,0.00
Jh 9d 2h,JdTs,0.999,60.64,2.64585,72.7215,0.03,1.20,99.92,2.65,0.05,0.00
Jh 9d 2h,QdTc,0.997,39.77,1.76235,73.85,0.69,0.82,99.23,1.77,0.08,0.00
Jh 9d 2h,QdJc,0.998,64.74,3.66,94.217,1.57,2.11,98.39,3.69,0.04,0.00
Jh 9d 2h,Qd6d,0.999,18.98,-0.00242,-0.21262,0.09,-2.35,0.04,-0.99,99.88,0.00
Jh 9d 2h,Qd7d,0.999,19.09,-0.00252,-0.21996,0.09,-2.40,0.04,-1.03,99.87,0.00
Jh 9d 2h,Qd8d,0.998,29.05,0.09966,5.71823,3.25,-1.28,95.11,0.15,1.64,0.00
Jh 9d 2h,QdTd,0.996,42.30,2.20088,86.7072,95.56,2.19,4.39,2.55,0.05,0.00
Jh 9d 2h,QdJd,0.997,66.16,4.87931,122.919,19.56,6.91,80.41,4.39,0.03,0.00
Jh 9d 2h,QdTh,0.996,42.39,2.00233,78.727,28.72,1.11,71.22,2.36,0.06,0.00
Jh 9d 2h,QdTs,0.997,39.77,1.76235,73.85,0.69,0.82,99.23,1.77,0.08,0.00
Jh 9d 2h,QdJs,0.998,64.74,3.66065,94.2337,1.53,2.11,98.43,3.69,0.04,0.00
Jh 9d 2h,Kd8c,0.999,18.10,-0.00223,-0.20512,0.06,-3.11,0.02,-1.46,99.92,0.00
Jh 9d 2h,Kd9c,0.999,52.86,1.10819,34.9443,0.34,-0.75,99.52,1.12,0.14,0.00
Jh 9d 2h,KdTc,0.997,31.00,-0.0042,-0.22607,1.25,-1.57,87.97,0.02,10.78,0.00
Jh 9d 2h,KdJc,0.998,66.76,4.34457,108.456,1.33,2.55,98.65,4.37,0.03,0.00
Jh 9d 2h,KdQc,0.997,34.75,0.06462,3.09951,13.74,-1.03,85.52,0.24,0.74,0.00
Jh 9d 2h,Kd2d,0.998,42.56,0.541,21.1869,34.67,-0.37,65.19,1.03,0.14,0.00
Jh 9d 2h,Kd3d,0.999,19.27,-0.0024,-0.20793,0.07,-2.75,0.03,-1.13,99.89,0.00
Jh 9d 2h,Kd4d,0.999,19.59,-0.0024,-0.20457,0.08,-2.74,0.03,-1.10,99.89,0.00
Jh 9d 2h,Kd5d,0.999,19.92,-0.00241,-0.2012,0.08,-2.72,0.03,-1.07,99.89,0.00
Jh 9d 2h,Kd6d,0.999,20.29,-0.00241,-0.19799,0.08,-2.68,0.03,-1.06,99.89,0.00
Jh 9d 2h,Kd7d,0.999,21.35,-0.00248,-0.19336,0.08,-2.60,0.04,-1.02,99.88,0.00
Jh 9d 2h,Kd8d,0.999,21.75,-0.00267,-0.20456,0.09,-2.65,0.04,-0.98,99.88,0.00
Jh 9d 2h,KdTd,0.998,34.07,0.62459,30.5576,2.23,-0.89,97.54,0.66,0.23,0.00
Jh 9d 2h,KdJd,0.997,68.11,5.71553,139.851,32.84,7.02,67.13,5.08,0.02,0.00
Jh 9d 2h,KdQd,0.997,37.69,0.54236,23.9828,34.06,-0.23,65.78,0.94,0.15,0.00
Jh 9d 2h,Kd8h,0.999,21.01,-0.00244,-0.1933,0.08,-2.72,0.03,-1.17,99.89,0.00
Jh 9d 2h,Kd9h,0.999,55.23,1.72221,51.9689,0.02,3.45,99.89,1.72,0.09,0.00
Jh 9d 2h,KdTh,0.997,33.92,0.14446,7.09801,24.59,-0.98,75.09,0.51,0.32,0.00
Jh 9d 2h,KdQh,0.997,37.89,0.44595,19.6154,44.84,-0.04,54.99,0.85,0.17,0.00
Jh 9d 2h,Kd8s,0.999,18.10,-0.00223,-0.20512,0.06,-3.11,0.02,-1.46,99.92,0.00
Jh 9d 2h,Kd9s,0.999,52.86,1.10821,34.9446,0.34,-0.75,99.52,1.12,0.14,0.00
Jh 9d 2h,KdTs,0.997,31.00,-0.0042,-0.22605,1.25,-1.57,87.97,0.02,10.78,0.00
Jh 9d 2h,KdJs,0.998,66.76,4.34442,108.452,1.34,2.55,98.64,4.37,0.03,0.00
Jh 9d 2h,KdQs,0.997,34.75,0.06452,3.09479,13.75,-1.03,85.52,0.24,0.74,0.00
Jh 9d 2h,Ad2c,0.998,38.75,-0.10241,-4.40512,12.66,-1.46,85.13,0.10,2.21,0.00
Jh 9d 2h,Ad3c,0.999,21.59,-0.00195,-0.15072,0.04,-2.98,0.04,-1.42,99.91,0.00
Jh 9d 2h,Ad4c,0.999,21.92,-0.00195,-0.14855,0.04,-2.97,0.04,-1.39,99.91,0.00
Jh 9d 2h,Ad5c,0.999,22.51,-0.00196,-0.14504,0.05,-2.94,0.05,-1.36,99.91,0.00
Jh 9d 2h,Ad6c,0.999,22.07,-0.00189,-0.14307,0.04,-3.07,0.04,-1.42,99.92,0.00
Jh 9d 2h,Ad7c,0.999,23.77,-0.00194,-0.13634,0.05,-2.96,0.05,-1.30,99.91,0.00
Jh 9d 2h,Ad8c,0.999,25.70,-0.002,-0.12974,0.05,-2.74,0.05,-1.16,99.90,0.00
Jh 9d 2h,Ad9c,0.999,53.56,1.68964,52.575,0.01,-0.14,99.90,1.69,0.09,0.00
Jh 9d 2h,AdTc,0.999,30.69,-0.00223,-0.12117,0.07,-2.24,0.07,-0.76,99.85,0.00
