Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Jh 9d 2h,6c5c,1.000,13.30,0.05843,7.3196,0.06,-2.40,99.94,0.06
Jh 9d 2h,7c6c,1.000,13.49,0.05521,6.82115,0.06,-2.39,99.94,0.06
Jh 9d 2h,8c7c,1.000,25.39,0.16025,10.5171,0.13,-1.59,99.87,0.16
Jh 9d 2h,9c7c,1.000,51.69,1.36811,44.1092,0.13,1.55,99.87,1.37
Jh 9d 2h,9c8c,1.000,52.51,1.30042,41.2713,0.12,-0.45,99.88,1.30
Jh 9d 2h,Tc7c,1.000,26.29,0.20133,12.7612,0.19,-1.29,99.81,0.20
Jh 9d 2h,Tc8c,1.000,37.66,2.24391,99.3188,0.31,2.30,99.69,2.24
Jh 9d 2h,Tc9c,1.000,55.13,1.56843,47.4184,0.12,1.56,99.88,1.57
Jh 9d 2h,Jc8c,1.000,60.83,2.84139,77.8551,0.13,3.27,99.87,2.84
Jh 9d 2h,Jc9c,1.000,81.60,13.3273,272.195,0.44,14.61,99.56,13.32
Jh 9d 2h,JcTc,1.000,62.24,2.92056,78.2074,0.14,3.59,99.86,2.92
Jh 9d 2h,JcTd,1.000,62.44,2.9707,79.2963,0.14,3.49,99.86,2.97
Jh 9d 2h,JcTh,1.000,64.83,3.51363,90.3262,0.16,4.40,99.84,3.51
Jh 9d 2h,JcTs,1.000,62.27,2.92043,78.1683,0.14,3.55,99.86,2.92
Jh 9d 2h,Qc6c,1.000,15.42,0.09193,9.9388,0.08,-2.19,99.92,0.09
Jh 9d 2h,Qc7c,1.000,15.55,0.08954,9.59625,0.08,-2.19,99.92,0.09
Jh 9d 2h,Qc8c,1.000,26.24,0.19107,12.1377,0.17,-1.48,99.83,0.19
Jh 9d 2h,Qc9c,1.000,54.97,1.6673,50.5494,0.11,0.52,99.89,1.67
Jh 9d 2h,QcTc,1.000,40.22,1.92046,79.5794,0.28,1.50,99.72,1.92
Jh 9d 2h,QcJc,1.000,66.04,3.89276,98.24,0.17,4.72,99.83,3.89
Jh 9d 2h,QcTd,1.000,40.28,1.95974,81.0806,0.28,1.46,99.72,1.96
Jh 9d 2h,QcJd,1.000,66.02,3.9065,98.6261,0.16,4.40,99.84,3.91
Jh 9d 2h,QcTh,1.000,42.79,2.48442,96.7705,0.37,2.46,99.63,2.48
Jh 9d 2h,QcTs,1.000,40.20,1.92313,79.7348,0.28,1.38,99.72,1.92
Jh 9d 2h,QcJs,1.000,66.04,3.89287,98.243,0.17,4.71,99.83,3.89
Jh 9d 2h,Kc2c,1.000,40.24,0.32129,13.3085,0.26,-0.73,99.74,0.32
Jh 9d 2h,Kc3c,1.000,15.54,0.07224,7.74533,0.07,-2.36,99.93,0.07
Jh 9d 2h,Kc4c,1.000,15.85,0.07231,7.60515,0.07,-2.35,99.93,0.07
Jh 9d 2h,Kc5c,1.000,16.15,0.07145,7.37241,0.07,-2.34,99.93,0.07
Jh 9d 2h,Kc6c,1.000,16.49,0.06827,6.89937,0.07,-2.33,99.93,0.07
Jh 9d 2h,Kc7c,1.000,17.65,0.07273,6.86689,0.07,-2.31,99.93,0.07
Jh 9d 2h,Kc8c,1.000,18.16,0.07803,7.16087,0.07,-2.27,99.93,0.08
Jh 9d 2h,Kc9c,1.000,54.48,1.42106,43.4746,0.13,-0.27,99.87,1.42
Jh 9d 2h,KcTc,1.000,31.27,0.23638,12.6,0.27,-1.20,99.73,0.24
Jh 9d 2h,KcJc,1.000,68.02,4.53109,111.027,0.19,5.41,99.81,4.53
Jh 9d 2h,KcQc,1.000,34.75,0.43453,20.8435,0.27,-1.04,99.73,0.44
Jh 9d 2h,Kc8d,1.000,18.22,0.08029,7.34611,0.08,-2.29,99.92,0.08
Jh 9d 2h,KcTd,1.000,31.30,0.25542,13.5989,0.29,-1.19,99.71,0.26
Jh 9d 2h,KcJd,1.000,68.00,4.54765,111.465,0.19,5.37,99.81,4.55
Jh 9d 2h,KcQd,1.000,34.82,0.45837,21.9398,0.27,-1.03,99.73,0.46
Jh 9d 2h,Kc8h,1.000,21.11,0.10767,8.50122,0.09,-2.09,99.91,0.11
Jh 9d 2h,Kc9h,1.000,56.86,2.00339,58.7267,0.13,1.98,99.87,2.00
Jh 9d 2h,KcTh,1.000,34.15,0.70965,34.6306,0.24,-0.19,99.76,0.71
Jh 9d 2h,KcQh,1.000,37.87,1.01648,44.7351,0.31,0.89,99.69,1.02
Jh 9d 2h,Kc8s,1.000,18.16,0.07804,7.16171,0.07,-2.27,99.93,0.08
Jh 9d 2h,Kc9s,1.000,54.49,1.41729,43.3513,0.13,-0.28,99.87,1.42
Jh 9d 2h,KcTs,1.000,31.22,0.23536,12.5629,0.27,-1.20,99.73,0.24
Jh 9d 2h,KcJs,1.000,68.02,4.53111,111.027,0.19,5.41,99.81,4.53
Jh 9d 2h,KcQs,1.000,34.75,0.43451,20.8422,0.27,-1.04,99.73,0.44
Jh 9d 2h,Ac2c,1.000,39.11,0.25952,11.0597,0.19,-1.13,99.81,0.26
Jh 9d 2h,Ac3c,1.000,21.47,0.05449,4.22902,0.06,-2.33,99.94,0.06
Jh 9d 2h,Ac4c,1.000,21.79,0.05474,4.18809,0.06,-2.33,99.94,0.06
Jh 9d 2h,Ac5c,1.000,22.33,0.05514,4.11542,0.06,-2.33,99.94,0.06
Jh 9d 2h,Ac6c,1.000,21.86,0.04865,3.71032,0.06,-2.43,99.94,0.05
Jh 9d 2h,Ac7c,1.000,23.63,0.05546,3.91206,0.06,-2.40,99.94,0.06
Jh 9d 2h,Ac8c,1.000,25.74,0.06772,4.3853,0.06,-2.32,99.94,0.07
Jh 9d 2h,Ac9c,1.000,55.07,1.91312,57.9012,0.11,1.38,99.89,1.91
Jh 9d 2h,AcTc,1.000,30.72,0.11356,6.16069,0.08,-1.91,99.92,0.12
Jh 9d 2h,Ac2d,1.000,39.13,0.27777,11.8315,0.18,-1.18,99.82,0.28
Jh 9d 2h,Ac3d,1.000,21.40,0.05472,4.26102,0.06,-2.36,99.94,0.06
Jh 9d 2h,Ac4d,1.000,21.72,0.05503,4.22291,0.06,-2.37,99.94,0.06
Jh 9d 2h,Ac5d,1.000,22.26,0.05517,4.13009,0.06,-2.37,99.94,0.06
Jh 9d 2h,Ac6d,1.000,21.79,0.04844,3.70513,0.06,-2.43,99.94,0.05
Jh 9d 2h,Ac7d,1.000,23.57,0.056,3.95932,0.06,-2.41,99.94,0.06
Jh 9d 2h,Ac8d,1.000,25.67,0.06744,4.37911,0.06,-2.32,99.94,0.07
Jh 9d 2h,AcTd,1.000,30.78,0.11559,6.2587,0.08,-1.88,99.92,0.12
Jh 9d 2h,AcJd,1.000,70.75,6.0312,142.081,0.35,6.85,99.65,6.03
Jh 9d 2h,Ac3h,1.000,23.86,0.07187,5.02034,0.07,-2.21,99.93,0.07
Jh 9d 2h,Ac4h,1.000,24.24,0.07244,4.98137,0.07,-2.20,99.93,0.07
Jh 9d 2h,Ac5h,1.000,24.83,0.07374,4.94879,0.07,-2.19,99.93,0.08
Jh 9d 2h,Ac6h,1.000,24.45,0.06769,4.61304,0.07,-2.30,99.93,0.07
Jh 9d 2h,Ac7h,1.000,26.27,0.07805,4.95172,0.07,-2.19,99.93,0.08
Jh 9d 2h,Ac8h,1.000,28.40,0.09236,5.41979,0.07,-2.06,99.93,0.09
Jh 9d 2h,Ac9h,1.000,57.50,2.46693,71.503,0.14,2.38,99.86,2.47
Jh 9d 2h,AcTh,1.000,33.74,0.14652,7.23839,0.12,-1.56,99.88,0.15
Jh 9d 2h,Ac2s,1.000,39.06,0.23811,10.1603,0.18,-1.20,99.82,0.24
Jh 9d 2h,Ac3s,1.000,21.34,0.05456,4.26143,0.06,-2.35,99.94,0.06
Jh 9d 2h,Ac4s,1.000,21.65,0.05486,4.22213,0.06,-2.34,99.94,0.06
Jh 9d 2h,Ac5s,1.000,22.20,0.05511,4.13742,0.06,-2.34,99.94,0.06
Jh 9d 2h,Ac6s,1.000,21.72,0.0482,3.69772,0.06,-2.43,99.94,0.05
