Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
Jh 7d 2h,JcTc,0.999,64.31,3.28967,85.2504,1.54,1.23,98.42,3.32,0.04,0.00
Jh 7d 2h,JcTd,0.999,64.47,3.37305,87.1936,0.04,1.48,99.91,3.38,0.04,0.00
Jh 7d 2h,JcTh,0.998,66.97,3.9266,97.7168,7.80,3.15,92.17,3.99,0.04,0.00
Jh 7d 2h,JcTs,0.999,64.35,3.24462,84.0403,3.68,1.19,96.27,3.32,0.04,0.00
Jh 7d 2h,Qc6c,0.999,15.00,-0.00336,-0.37325,0.11,-2.75,0.03,-0.81,99.86,0.00
Jh 7d 2h,Qc7c,0.999,53.97,1.72264,53.1942,0.02,3.74,99.89,1.72,0.09,0.00
Jh 7d 2h,Qc8c,0.999,16.42,-0.00389,-0.39462,0.13,-2.70,0.04,-0.75,99.83,0.00
Jh 7d 2h,Qc9c,0.999,17.72,-0.00421,-0.39648,0.15,-2.57,0.05,-0.57,99.80,0.00
Jh 7d 2h,QcTc,0.999,20.08,-0.00427,-0.35448,0.17,-2.34,0.06,-0.44,99.77,0.00
Jh 7d 2h,QcJc,0.998,68.28,4.50441,109.943,4.94,6.25,95.03,4.42,0.03,0.00
Jh 7d 2h,QcTd,0.999,20.09,-0.00436,-0.36155,0.17,-2.37,0.06,-0.45,99.77,0.00
Jh 7d 2h,QcJd,0.998,68.39,4.46462,108.81,0.21,5.93,99.76,4.46,0.03,0.00
Jh 7d 2h,QcTh,0.998,23.26,-0.07352,-5.26707,3.86,-1.91,10.40,0.00,85.74,0.00
Jh 7d 2h,QcTs,0.999,20.01,-0.00419,-0.34897,0.17,-2.37,0.06,-0.46,99.78,0.00
Jh 7d 2h,QcJs,0.998,68.28,4.50322,109.914,4.88,6.25,95.09,4.42,0.03,0.00
Jh 7d 2h,Kc2c,0.998,44.94,0.59551,22.0879,27.33,-0.30,72.50,0.93,0.17,0.00
Jh 7d 2h,Kc3c,0.999,17.07,-0.00322,-0.31436,0.11,-2.75,0.03,-0.89,99.86,0.00
Jh 7d 2h,Kc4c,0.999,17.37,-0.00322,-0.30911,0.11,-2.74,0.03,-0.86,99.86,0.00
Jh 7d 2h,Kc5c,0.999,17.67,-0.00323,-0.30463,0.11,-2.73,0.03,-0.86,99.86,0.00
Jh 7d 2h,Kc6c,0.999,18.00,-0.0033,-0.30582,0.11,-2.72,0.03,-0.82,99.86,0.00
Jh 7d 2h,Kc7c,0.999,54.07,1.68812,52.0309,0.02,3.35,99.89,1.69,0.09,0.00
Jh 7d 2h,Kc8c,0.999,19.50,-0.00379,-0.32427,0.13,-2.70,0.04,-0.75,99.83,0.00
Jh 7d 2h,Kc9c,0.999,20.80,-0.00403,-0.32281,0.14,-2.61,0.05,-0.60,99.81,0.00
Jh 7d 2h,KcTc,0.999,23.20,-0.00425,-0.3053,0.17,-2.40,0.06,-0.46,99.77,0.00
Jh 7d 2h,KcJc,0.998,70.97,5.40742,126.993,9.42,6.71,90.56,5.27,0.02,0.00
Jh 7d 2h,KcQc,0.999,26.87,-0.03548,-2.20062,1.83,-1.97,40.40,0.00,57.77,0.00
Jh 7d 2h,Kc8d,0.999,19.56,-0.0038,-0.32429,0.13,-2.69,0.04,-0.74,99.83,0.00
Jh 7d 2h,Kc9d,0.999,20.81,-0.00413,-0.33107,0.15,-2.62,0.05,-0.57,99.80,0.00
Jh 7d 2h,KcTd,0.999,23.23,-0.00444,-0.31827,0.17,-2.45,0.06,-0.47,99.77,0.00
Jh 7d 2h,KcJd,0.998,71.08,5.32113,124.763,1.18,5.21,98.80,5.32,0.02,0.00
Jh 7d 2h,KcQd,0.998,26.98,-0.02466,-1.52341,1.20,-2.04,27.84,0.00,70.96,0.00
Jh 7d 2h,Kc8h,0.999,22.49,-0.00568,-0.42069,0.24,-2.27,0.08,-0.41,99.69,0.00
Jh 7d 2h,Kc9h,0.999,23.82,-0.0085,-0.59494,0.41,-1.99,0.14,-0.20,99.44,0.00
Jh 7d 2h,KcTh,0.998,26.41,-0.07321,-4.62006,3.77,-1.94,12.68,0.00,83.56,0.00
Jh 7d 2h,KcQh,0.999,30.37,0.43178,23.6924,8.61,-0.23,91.04,0.50,0.35,0.00
Jh 7d 2h,Kc8s,0.999,19.50,-0.00379,-0.32429,0.13,-2.70,0.04,-0.75,99.83,0.00
Jh 7d 2h,Kc9s,0.999,20.73,-0.00397,-0.31902,0.14,-2.63,0.05,-0.61,99.81,0.00
Jh 7d 2h,KcTs,0.999,23.13,-0.00417,-0.30052,0.16,-2.42,0.06,-0.47,99.78,0.00
Jh 7d 2h,KcJs,0.998,70.97,5.40845,127.017,9.48,6.71,90.50,5.27,0.02,0.00
Jh 7d 2h,KcQs,0.999,26.87,-0.03489,-2.16412,1.81,-1.97,40.06,0.00,58.13,0.00
Jh 7d 2h,Ac2c,0.999,45.32,0.54329,19.9805,11.68,-0.90,88.10,0.74,0.23,0.00
Jh 7d 2h,Ac3c,0.999,25.48,-0.00286,-0.18732,0.10,-2.45,0.04,-0.91,99.86,0.00
Jh 7d 2h,Ac4c,0.999,25.78,-0.00286,-0.18513,0.10,-2.43,0.04,-0.89,99.86,0.00
Jh 7d 2h,Ac5c,0.999,26.32,-0.00288,-0.18232,0.10,-2.43,0.04,-0.88,99.86,0.00
Jh 7d 2h,Ac6c,0.999,25.86,-0.00276,-0.1776,0.09,-2.66,0.03,-0.90,99.87,0.00
Jh 7d 2h,Ac7c,0.999,54.48,1.57792,48.2696,0.02,2.81,99.89,1.58,0.10,0.00
Jh 7d 2h,Ac8c,0.999,28.73,-0.00307,-0.17826,0.11,-2.58,0.04,-0.81,99.85,0.00
Jh 7d 2h,Ac9c,0.999,30.88,-0.00303,-0.16353,0.10,-2.60,0.04,-0.73,99.85,0.00
Jh 7d 2h,AcTc,0.999,35.62,-0.00309,-0.14445,0.12,-2.37,0.06,-0.46,99.82,0.00
Jh 7d 2h,Ac2d,0.999,45.37,0.52736,19.3707,13.34,-0.95,86.45,0.76,0.22,0.00
Jh 7d 2h,Ac3d,0.999,25.43,-0.00285,-0.18693,0.10,-2.51,0.04,-0.91,99.86,0.00
Jh 7d 2h,Ac4d,0.999,25.74,-0.00286,-0.18488,0.10,-2.49,0.04,-0.89,99.86,0.00
Jh 7d 2h,Ac5d,0.999,26.28,-0.00287,-0.18181,0.10,-2.48,0.04,-0.89,99.86,0.00
Jh 7d 2h,Ac6d,0.999,25.82,-0.00272,-0.17543,0.09,-2.68,0.03,-0.92,99.88,0.00
Jh 7d 2h,Ac8d,0.999,28.68,-0.00302,-0.17573,0.10,-2.60,0.04,-0.81,99.86,0.00
Jh 7d 2h,Ac9d,0.999,30.98,-0.00313,-0.16859,0.11,-2.57,0.05,-0.68,99.84,0.00
Jh 7d 2h,AcTd,0.999,35.74,-0.00333,-0.15517,0.13,-2.36,0.06,-0.46,99.81,0.00
Jh 7d 2h,AcJd,0.995,74.98,7.06664,157.076,14.97,8.73,85.02,6.78,0.02,0.00
Jh 7d 2h,Ac3h,0.999,27.84,-0.0032,-0.19136,0.12,-2.37,0.05,-0.73,99.83,0.00
Jh 7d 2h,Ac4h,0.999,28.21,-0.00321,-0.1897,0.12,-2.36,0.05,-0.70,99.83,0.00
Jh 7d 2h,Ac5h,0.999,28.79,-0.00323,-0.18715,0.12,-2.35,0.05,-0.67,99.83,0.00
Jh 7d 2h,Ac6h,0.999,28.43,-0.00332,-0.19476,0.12,-2.62,0.04,-0.68,99.84,0.00
Jh 7d 2h,Ac7h,0.999,56.72,2.10992,62.0025,0.05,1.63,99.87,2.11,0.07,0.00
Jh 7d 2h,Ac8h,0.999,31.43,-0.00395,-0.20918,0.17,-2.18,0.07,-0.46,99.77,0.00
Jh 7d 2h,Ac9h,0.999,33.77,-0.00476,-0.23492,0.23,-1.98,0.09,-0.28,99.68,0.00
Jh 7d 2h,AcTh,0.999,38.69,-0.00986,-0.42484,0.61,-1.64,39.83,0.00,59.56,0.00
Jh 7d 2h,Ac2s,0.999,45.30,0.70945,26.1035,0.56,-1.00,99.21,0.72,0.24,0.00
Jh 7d 2h,Ac3s,0.999,25.36,-0.00282,-0.18502,0.10,-2.50,0.04,-0.92,99.86,0.00
Jh 7d 2h,Ac4s,0.999,25.67,-0.00282,-0.18283,0.10,-2.48,0.04,-0.90,99.86,0.00
Jh 7d 2h,Ac5s,0.999,26.21,-0.00283,-0.18001,0.10,-2.48,0.04,-0.89,99.86,0.00
Jh 7d 2h,Ac6s,0.999,25.75,-0.00271,-0.17562,0.09,-2.71,0.03,-0.93,99.88,0.00
Jh 7d 2h,Ac7s,0.999,54.50,1.57312,48.1045,0.02,3.12,99.89,1.57,0.10,0.00
Jh 7d 2h,Ac8s,0.999,28.64,-0.00302,-0.17548,0.10,-2.63,0.04,-0.84,99.86,0.00
Jh 7d 2h,Ac9s,0.999,30.88,-0.00303,-0.16354,0.10,-2.60,0.04,-0.73,99.85,0.00
Jh 7d 2h,AcTs,0.999,35.62,-0.00309,-0.14444,0.12,-2.37,0.06,-0.46,99.82,0.00
Jh 7d 2h,AcJs,0.995,74.84,7.10632,158.263,19.14,8.74,80.84,6.72,0.02,0.00
Jh 7d 2h,6d6c,0.998,46.49,0.3911,14.0223,0.04,-1.53,99.48,0.39,0.48,0.00
Jh 7d 2h,6d5d,0.999,19.99,-0.00534,-0.44549,0.26,-1.95,0.10,-0.38,99.65,0.00
Jh 7d 2h,8d8c,0.999,51.30,0.9034,29.352,0.02,-1.14,99.80,0.91,0.19,0.00
Jh 7d 2h,9d9c,0.999,53.53,1.26095,39.2596,0.01,-0.84,99.86,1.26,0.13,0.00
Jh 7d 2h,9d8d,0.998,31.14,1.39953,74.9027,26.83,0.76,73.08,1.64,0.09,0.00
Jh 7d 2h,TdTc,0.999,57.12,1.84895,53.9533,0.01,-0.17,99.91,1.85,0.09,0.00
Jh 7d 2h,Td8d,0.998,30.25,1.17951,64.9975,28.11,0.54,71.79,1.43,0.10,0.00
Jh 7d 2h,Td9d,0.998,31.73,1.27333,66.8802,33.08,0.74,66.83,1.54,0.10,0.00
Jh 7d 2h,JdTc,0.999,64.43,3.36587,87.0641,0.20,1.22,99.76,3.37,0.04,0.00
Jh 7d 2h,Jd8d,0.998,65.64,4.20807,106.84,2.20,4.69,97.76,4.20,0.03,0.00
Jh 7d 2h,Jd9d,0.998,65.42,4.14335,105.564,3.04,4.43,96.93,4.14,0.03,0.00
Jh 7d 2h,JdTd,0.998,66.06,4.29577,108.374,15.48,5.27,84.49,4.12,0.03,0.00
Jh 7d 2h,JdTh,0.998,67.06,3.98084,98.9384,5.93,3.09,94.04,4.04,0.04,0.00
Jh 7d 2h,JdTs,0.999,64.43,3.36587,87.0641,0.20,1.22,99.76,3.37,0.04,0.00
Jh 7d 2h,QdTc,0.999,20.10,-0.00455,-0.37727,0.17,-2.45,0.06,-0.48,99.76,0.00
Jh 7d 2h,QdJc,0.998,68.42,4.47059,108.903,0.19,6.66,99.78,4.47,0.03,0.00
Jh 7d 2h,Qd6d,0.999,18.98,-0.00571,-0.50177,0.24,-2.24,0.08,-0.37,99.68,0.00
Jh 7d 2h,Qd8d,0.999,20.32,-0.0077,-0.63166,0.32,-2.27,0.11,-0.29,99.56,0.00
Jh 7d 2h,Qd9d,0.998,21.53,-0.01397,-1.08136,0.64,-2.14,0.25,-0.06,99.10,0.00
Jh 7d 2h,QdTd,0.998,23.78,-0.02225,-1.55922,1.16,-1.91,12.84,0.00,86.00,0.00
Jh 7d 2h,QdJd,0.997,69.87,5.59523,133.469,22.75,7.15,77.22,5.14,0.03,0.00
Jh 7d 2h,QdTh,0.998,23.35,-0.18337,-13.0864,9.31,-1.97,13.04,0.00,77.66,0.00
Jh 7d 2h,QdTs,0.999,20.10,-0.00455,-0.37727,0.17,-2.45,0.06,-0.48,99.76,0.00
Jh 7d 2h,QdJs,0.998,68.42,4.47059,108.903,0.19,6.66,99.78,4.47,0.03,0.00
Jh 7d 2h,Kd8c,0.999,19.57,-0.00413,-0.35149,0.14,-2.75,0.04,-0.75,99.82,0.00
Jh 7d 2h,Kd9c,0.999,20.81,-0.00431,-0.34553,0.15,-2.69,0.05,-0.61,99.80,0.00
Jh 7d 2h,KdTc,0.999,23.23,-0.00444,-0.31885,0.17,-2.45,0.06,-0.49,99.77,0.00
Jh 7d 2h,KdJc,0.998,71.10,5.32929,124.923,0.36,6.77,99.62,5.33,0.02,0.00
Jh 7d 2h,KdQc,0.998,26.98,-0.02654,-1.63939,1.31,-2.02,30.36,0.00,68.33,0.00
Jh 7d 2h,Kd2d,0.998,47.73,1.81794,63.4747,26.06,1.64,73.86,1.88,0.08,0.00
Jh 7d 2h,Kd3d,0.999,20.96,-0.00535,-0.4254,0.22,-2.26,0.08,-0.42,99.70,0.00
Jh 7d 2h,Kd4d,0.999,21.25,-0.0054,-0.42381,0.23,-2.25,0.08,-0.40,99.69,0.00
Jh 7d 2h,Kd5d,0.999,21.55,-0.00546,-0.4222,0.23,-2.24,0.08,-0.39,99.69,0.00
Jh 7d 2h,Kd6d,0.999,21.88,-0.00578,-0.44047,0.24,-2.24,0.09,-0.36,99.67,0.00
Jh 7d 2h,Kd8d,0.999,23.28,-0.00783,-0.56066,0.33,-2.24,0.13,-0.27,99.54,0.00
Jh 7d 2h,Kd9d,0.999,24.51,-0.01275,-0.86679,0.60,-2.09,0.25,-0.07,99.15,0.00
Jh 7d 2h,KdTd,0.998,26.80,-0.02326,-1.44694,1.23,-1.88,40.15,0.00,58.61,0.00
Jh 7d 2h,KdJd,0.996,72.45,6.52772,150.157,37.47,7.44,62.51,5.98,0.02,0.00
Jh 7d 2h,KdQd,0.999,30.44,0.32967,18.0523,8.57,-1.54,91.09,0.51,0.33,0.00
Jh 7d 2h,Kd8h,0.999,22.57,-0.0063,-0.46558,0.26,-2.30,0.08,-0.41,99.66,0.00
Jh 7d 2h,Kd9h,0.999,23.90,-0.00993,-0.69265,0.47,-2.04,0.16,-0.20,99.37,0.00
Jh 7d 2h,KdTh,0.998,26.50,-0.23776,-14.9522,12.35,-1.93,9.36,0.00,78.29,0.00
Jh 7d 2h,KdQh,0.999,30.48,0.03315,1.81219,27.74,-1.17,71.92,0.50,0.34,0.00
Jh 7d 2h,Kd8s,0.999,19.57,-0.00413,-0.35149,0.14,-2.75,0.04,-0.75,99.82,0.00
Jh 7d 2h,Kd9s,0.999,20.81,-0.00431,-0.34553,0.15,-2.69,0.05,-0.61,99.80,0.00
Jh 7d 2h,KdTs,0.999,23.23,-0.00444,-0.31885,0.17,-2.45,0.06,-0.49,99.77,0.00
Jh 7d 2h,KdJs,0.998,71.10,5.32929,124.923,0.36,6.77,99.62,5.33,0.02,0.00
Jh 7d 2h,KdQs,0.998,26.98,-0.02654,-1.63938,1.31,-2.02,30.36,0.00,68.33,0.00
Jh 7d 2h,Ad2c,0.999,45.35,0.60904,22.3813,9.69,-0.85,90.09,0.77,0.22,0.00
Jh 7d 2h,Ad3c,0.999,25.37,-0.00286,-0.18799,0.10,-2.42,0.04,-0.92,99.86,0.00
Jh 7d 2h,Ad4c,0.999,25.67,-0.00286,-0.1859,0.10,-2.41,0.04,-0.90,99.86,0.00
Jh 7d 2h,Ad5c,0.999,26.21,-0.00288,-0.18298,0.11,-2.39,0.04,-0.90,99.86,0.00
Jh 7d 2h,Ad6c,0.999,25.75,-0.00273,-0.17662,0.09,-2.60,0.03,-0.93,99.87,0.00
Jh 7d 2h,Ad7c,0.999,54.72,1.64968,50.2451,0.02,-0.36,99.89,1.65,0.09,0.00
Jh 7d 2h,Ad8c,0.999,28.72,-0.00302,-0.17527,0.11,-2.41,0.04,-0.82,99.85,0.00
Jh 7d 2h,Ad9c,0.999,30.97,-0.00308,-0.16573,0.11,-2.39,0.05,-0.72,99.84,0.00
Jh 7d 2h,AdTc,0.999,35.72,-0.00309,-0.14421,0.13,-2.10,0.06,-0.48,99.80,0.00
Jh 7d 2h,AdJc,0.996,75.17,7.13147,158.111,16.11,8.68,83.87,6.84,0.02,0.00
Jh 7d 2h,Ad2d,0.998,48.06,1.73175,60.0512,6.14,1.11,93.78,1.77,0.08,0.00
Jh 7d 2h,Ad3d,0.999,28.92,-0.0058,-0.33415,0.31,-1.76,0.15,-0.22,99.54,0.00
Jh 7d 2h,Ad4d,0.999,29.23,-0.00594,-0.33854,0.32,-1.75,0.16,-0.19,99.52,0.00
Jh 7d 2h,Ad5d,0.999,29.75,-0.00609,-0.3411,0.33,-1.74,0.16,-0.18,99.50,0.00
Jh 7d 2h,Ad6d,0.999,29.34,-0.00455,-0.25869,0.22,-1.97,0.10,-0.27,99.68,0.00
